Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://naecleaningsolutions.com/bank-cleaning-services-austin/,"Expert Financial Institutions & Bank Cleaning Services in Austin, TX",100,0.036763783890956116,n/a,1,200,2.252,1,1,1,1,0,Self-canonical,1,64,41,11,0,-,-,76,269,20,"call 512-761-8623 for top-rated bank cleaning services in austin, tx. expert solutions for banks and financial institutions.",
https://naecleaningsolutions.com/church-cleaning-services-austin/,"Church Cleaning Services in Austin, TX | NAE Cleaning",100,0.036763783890956116,n/a,1,200,1.257,1,1,1,1,0,Canonical to other page,0,64,41,11,0,-,-,76,269,22,"respectful church cleaning services in austin—pews, floors, restrooms, and events. 24/7 scheduling. request free estimate at 512‑761‑8623.",
https://naecleaningsolutions.com/medical-facility-cleaning-austin/,Medical Cleaning Services in Austin | NAE Cleaning,100,0.036763783890956116,n/a,1,200,1.349,1,1,1,1,0,Self-canonical,1,64,41,11,0,-,-,76,269,20,"austin medical cleaning services for clinics and dental offices. epa disinfectants, trained staff, compliance focus. get a fast, free quote at 512‑761‑8623.",
https://naecleaningsolutions.com/office-building-cleaning-austin/,Office Cleaning Service in Austin | NAE Cleaning,100,0.036763783890956116,n/a,1,200,2.443,1,1,1,1,0,Self-canonical,1,64,41,11,0,-,-,76,269,20,"office cleaning service in austin with night or day porter options. reliable crews, consistent results. call 512‑761‑8623 for free estimate.",
https://naecleaningsolutions.com/school-cleaning-services-austin/,Cleaning Services for Schools in Austin | NAE Cleaning,100,0.036763783890956116,n/a,1,200,1.514,1,1,1,1,0,Self-canonical,1,64,41,11,0,-,-,76,269,20,"austin's trusted cleaning service fir schools—classrooms, cafeterias, gyms. insured team, flexible schedule, eco friendly. free quote 512‑761‑8623",
https://naecleaningsolutions.com/auto-dealership-cleaning-austin/,Car Dealership Cleaning Service in Austin | NAE Cleaning,98,0.03673920617853232,n/a,1,200,1.437,1,1,1,1,0,Self-canonical,1,64,40,9,0,-,-,73,247,19,"austin's car dealership cleaning service—showroom glass, floors, and service bays that impress buyers. flexible schedules. call 512‑761‑8623 for free quote.",
https://naecleaningsolutions.com/warehouse-cleaning-services-in-austin/,Expert Warehouse Cleaning Services in Austin,98,0.03673920617853232,n/a,1,200,1.17,1,1,1,1,0,Self-canonical,1,64,40,9,0,-,-,73,247,20,book top-rated warehouse cleaning services in austin. call 512-761-8623 today for professional and efficient cleaning solutions.,
https://naecleaningsolutions.com/recent-blog/,|,95,0.03127196178893986,n/a,1,200,1.289,1,1,1,1,0,-,0,64,54,9,0,-,-,75,251,1,-,
https://naecleaningsolutions.com/day-porter-services-austin/,"Five Star Rated Day Porter Cleaning Services in Austin, TX",93,0.031217665760658063,n/a,1,200,1.246,1,1,1,1,0,Self-canonical,1,64,41,12,0,-,-,76,269,20,"we are committed to providing top-notch day porter cleaning services in austin, tx to help keep your spaces clean, safe, and well maintained.",
https://naecleaningsolutions.com/commercal-carpet-cleaning-austin/,"Best Commercial Carpet Cleaning Services in Austin, TX",90,0.03121110163842867,n/a,1,200,1.305,1,1,1,1,0,Self-canonical,1,64,41,11,0,-,-,76,269,20,"professional commercial carpet cleaning services in austin, tx. keep your business clean, fresh, and welcoming with expert deep cleaning solutions.",
